%% data file: Math XXXX Exam Scores
% This is a fictitious data set generated for the sake of instruction. 
% Load the data by typing
%
%    >> grades = load('grades.dat');
%
% Each row contains all exam scores of a student, ordered as
%
%    Col1 (15%): Exam 1 
%    Col2 (15%): Exam 2 
%    Col3 (20%): Exam 3 
%    Col4 (50%): Final Exam 
%
34.01 83.13 10.63 38.98
71.88 68.58 18.06 67.67
70.59 69.88 63.99 30.04
31.89 83.43 87.10 62.64
79.98 63.43 53.47 84.45
53.93 86.13 99.69 78.94
12.57 77.74 71.67 64.74
69.88 58.21 76.54 80.36
80.30 43.85 69.48 92.87
88.11 75.25 84.99 89.01
87.15 88.19 89.45 28.78
84.73 75.39 82.76 61.88
92.33 84.98 68.21 77.63
80.26 88.79 35.68 52.80
89.01 87.08 77.69 73.52
89.41 89.26 88.04 76.30
90.58 58.55 89.01 59.93
57.56 62.11 69.71 79.99
97.30 90.26 83.58 87.98
81.29 93.78 94.36 45.58
73.71 86.62 71.37 94.37
89.60 88.49 94.88 73.31
88.07 75.86 59.68 85.30
60.18 73.94 87.03 65.77
89.38 77.74 59.46 77.01
81.01 76.41 86.90 73.74
69.15 74.67 28.55 95.40
76.38 58.49 65.93 85.14
74.45 73.10 69.82 84.76
81.69 82.82 94.78 86.60
90.56 76.35 45.35 87.36
92.82 75.14 82.84 63.89
78.40 95.48 70.91 76.33
98.74 88.24 88.32 94.20
93.42 67.02 82.63 78.83
74.74 26.03 84.97 75.17
61.76 19.75 93.13 63.38
81.63 24.24 81.67 64.50
38.33 41.06 80.23 86.42
92.69 96.63 77.35 85.94
55.54 95.73 62.52 72.81
87.57 61.67 73.22 68.92
